1C0  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1TU  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1C1
1WV  0    0    0    0    0    0    0    0    0    1WV  0    0    0    0    0    0    0    1WV
1WV  0    0    0    0    0    0    0    0    0    1WV  0    1PL  1WH  1WH  1WH  1PR  0    1WV
1WV  0    1I2  0    0    1I3  0    0    1I4  0    1WV  0    0    0    0    0    0    0    1WV
1WV  0    0    0    0    0    0    0    0    0    1WV  0    1PL  1WH  1WH  1WH  1PR  0    1WV
1WV  SR   0    0    0    0    0    0    0    SL   1WV  0    0    0    0    0    0    0    1WV
1WV  0    1J   1J   1J   1J   1J   1J   1J   0    1PD  0    0    0    1IP  0    0    0    1WV
1WV  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1WV
1WV  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1WV
1WV  0    0    0    0    JU   0    0    0    0    0    0    0    0    0    0    0    0    1WV
1C3  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1C2
