1C0  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1C1
1WV  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1WV
1WV  0    0    0    0    1K0  1LU  1LU  1LU  1LU  1LU  1LU  1LU  1K1  0    0    0    0    1WV
1WV  0    0    0    0    1LL  1E   1E   1E   1E   1E   1E   1E   1LR  0    0    0    0    1WV
1WV  0    0    0    0    1K3  1LD  1LD  1LD  1LD  1LD  1LD  1LD  1K2  0    0    0    0    1WV
1WV  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1WV
1WV  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1WV
1WV  0    0    0    1S   0    0    0    0    1P   0    0    0    0    1C   0    0    0    1WV
1WV  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1WV
1WV  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1WV
1C3  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1WH  1C2
